Nummer;Kategorie;Frage;Loesung;Punkte;Bild;Antwort1;Antwort2;Antwort3;Antwort4
1;Ausbildung;Welche Qualifikation muss ein Staplerfahrer nachweisen?;2;10;001.png;Führerschein Pkw;Staplerschein;Führerschein Lkw;
2;Ausbildung;Darf ein Stapler auch auf dem Parkplatz benutzt werden?;3;10;002.png;Auf keinen Fall;Nur in Ausnahmesituationen;Nur mit Straßenzulassung;
3;Machanik;Welches Bauteil stellt bei Elektrostaplern einen Teil des Gegengewichtes?;2;10;;Hinterachse;Antriebsbatterie;Motor;
4;Machanik;Wie nennt man ein Hubgerüst, das aus einem Innenmast, Mittelmast und Außenmast besteht?;3;10;;Einfach-Hubgerüst;Zweifach-Hubgerüst;Dreifach-Hubgerüst;
5;Physik;Wie groß ist der genormte Lastschwerpunktabstand bei Gabelstaplern mit einer Tragfähigkeit von weniger als 5.000 kg?;2;10;;600 mm;500 mm;700 mm;
6;Sicherheit;Wann muss der Stapler gegen unbefugte Nutzung gesichert werden?;1;10;006.png;Jedes Mal, wenn der Stapler verlassen wird;Nur in Pausen, die länger als 10 Minuten dauern;Nur in Betrieben mit  mehreren Geräten, um Verwechselungen zu verhindern;
7;Machanik;Welches Bauteil macht das Vor- oder Zurückneigen des Hubgerüstes möglich?;1;10;;Neigezylinder;Hubzylinder;Lenkzylinder;
8;Sicherheit;Wann muss der Sicherheitscheck durchgeführt werden?;2;10;008.png;Vor jeder Fahrt;Vor Arbeitsbeginn;Die Termine werden betriebsintern festgelegt;
9;Sicherheit;Was ist zu tun, wenn die Last die Sicht nach vorne einschränkt?;3;10;009.png;Langsam fahren, bremsbereit bleiben;Last anheben, bis die Sicht auf die Fahrbahn frei ist;Rückwärts fahren, um freie Sicht auf d. Fahrbahn zu haben;
10;Sicherheit;Wann muss das Fahrtempo reduziert werden?;1;10;010.png;Auf nassen oder rutschigen Böden;Bei niedrigem Batteriestand;Bei Fahrten ohne Last;
11;Machanik;Welcher Motor arbeitet nach dem Prinzip der Selbstzündung?;2;10;;Erdgasmotor;Dieselmotor;Benzinmotor;
12;Sicherheit;Was ist bei Fahrten auf einer Rampe zu beachten?;3;10;012.png;Tempo erhöhen, um die Steigung schnell zu überwinden;Rampen dürfen nur ohne Last befahren werden;Last bergseitig führen, vorsichtig beschleunigen, Lenkrad gerade ausrichten;
13;Ausbildung;Wodurch wird das Heben der Last am Gabelstapler ermöglicht?;2;10;;Durch Elektronik;Durch Hydraulik;Durch Pneumatik;
14;Sicherheit;Was muss zum Schutz des Fahrers an einem Stapler vorhanden sein?;2;10;;Eine ausreichende Beleuchtung / Rundumleuchte;Ein Schutzdach;Ein Sicherheitsgurt;
15;Physik;Wie muss ein Gefälle mit Last befahren werden?;3;10;;Vorwärts;Mit hoher Geschwindigkeit;Rückwärts;
16;Sicherheit;Was muss der Gabelstaplerfahrer sicherstellen?;1;10;;Dass kein Unbefugter den Stapler benutzt;Dass der Stapler nicht länger als 4 Stunden im Einsatz ist;Dass der Stapler nicht mehr als 2.000 Betriebsstunden lauft;
17;Physik;Wie muss eine Steigung mit Last befahren werden?;1;10;017.png;Vorwärts;Im Schritttempo;Rückwärts;
18;Physik;Was gilt beim Einsatz von Anbaugeräten?;2;10;018.png;Sie können das Fahrverhalten verändern;Sie können den Schwerpunkt und die Tragfähigkeit verändern;Sie können das Transportgut gefährden;
19;Sicherheit;Was ist beim Abstellen des Staplers zu beachten?;1;10;019.png;Feststellbremse ziehen, bei abschüssigem Gelände zusätzlich mit Vorlegeklötzen sichern;Vorgesetzten informieren und Batterie aufladen;Der Stapler darf nur ohne Ladung abgestellt werden;
20;Machanik;Wie soll das Hubgerüst beim Transport einer Last über eine längere Strecke stehen?;1;10;;Nach hinten zum Fahrer geneigt;Nach vorn geneigt;Es soll möglichst gerade stehen;
21;Sicherheit;Wann ist es zulässig, unter einer angehobenen Last zu arbeiten?;3;10;021.png;Wenn die Last weniger als 100 kg wiegt;Wenn die Last nicht höher als 1,50 m angehoben ist;Unter angehobener Last darf sich niemand aufhalten;
22;Sicherheit;Darf auf einem Stapler eine zweite Person mitfahren?;1;10;022.png;Ja, auf Geräten mit Beifahrersitz;Ja, auf einer leeren Palette;Ja, wenn diese auch einen Staplerschein hat;
23;Ausbildung;Gibt es eine Gurtpflicht für Staplerfahrer?;2;10;023.png;Nur bei Fahrten außerhalb der Halle;Wenn ein Gurt vorhanden ist, muss dieser vor Fahrtantritt angelegt werden;Nur Fahrer mit weniger als 3 Jahren Fahrpraxis müssen den Gurt anlegen;
24;Physik;Was ist vermutlich die Ursache, wenn der Gabelträger bei Beendigung des Senkvorgangs federt?;1;10;;Luft in der Ölleitung;Zu wenig Öl in der Hydraulikanlage;Ölpumpe defekt;
25;Ausbildung;Gibt es bei Gabelstaplern außer dem Bedienungshebel des Hubgerüstes noch andere Hydraulikbedienungshebel?;2;10;;Nein;Ja, für Anbaugeräte;Ja, für schnelles und langsames Fahren;
26;Sicherheit;Was ist zu tun, wenn der Stapler umkippt?;3;10;026.png;Hupen, um Kollegen zu warnen;Gaspedal durchdrücken, um den Stapler zu stabilisieren;Mit beiden Händen am Lenkrad festhalten, Füße gegen den Boden drücken und sitzenbleiben;
27;Sicherheit;Was ist bei Arbeiten am Regal zu beachten?;1;10;027.png;Beim Ein- und Auslagern können die Gabeln an den Traversen hängen bleiben;Unter der Last können sich Kollegen aufhalten;Beim Einlagern kann der Stapler wegrollen;
28;Ausbildung;Wer ist für den richtigen Umgang mit einem Stapler verantwortlich?;3;10;;Hersteller;Vorgesetzte;Fahrer;
29;Machanik;Durch welches Bauteil wird der Kraftschluß zwischen Motor und Getriebe mechanisch getrennt?;2;10;;Kardanwelle;Kupplung;Differential;
30;Physik;Was ist der Lastschwerpunktabstand?;3;10;;Der Punkt oder die Stelle, auf die eine Last anzuheben ist;Der Abstand des Lastschwerpunktes zum Boden;Der Abstand vom Gabelrücken bis zum Schwerpunkt der Last;
31;Sicherheit;Wann darf die Hupe benutzt werden?;3;10;031.png;Vor jeder Kurvenfahrt;Vor jedem Bremsmanöver;An unübersichtlichen Stellen und bei möglichem Querverkehr;
32;Machanik;Wovon ist die richtige Wahl des Reifens abhängig?;2;10;;Vom Luftdruck;Von der Bodenbeschaffenheit;Von der Antriebsart des Staplers;
33;Physik;Wo sollte sich der Lastschwerpunkt befinden?;2;10;033.png;Möglichst weit vorne;Möglichst nahe am Schwerpunkt des Staplers;Möglichst weit oben;
34;Sicherheit;Was gilt beim Einsatz von Arbeitsbühnen?;3;10;034.png;Die Bühne darf nur vom Staplerfahrer betreten werden;Die Bühne muss beleuchtet sein;Die Bühne muss zugelassen und gesichert sein;
35;Sicherheit;Wie kann eine Last sicher transportiert werden?;1;10;035.png;Gabel nur soweit anheben, dass kein Bodenkontakt mehr besteht;Gabel komplett ausfahren, um freie Sicht zu haben;Gabel absenken u. zurückneigen, um die Last zu schieben;
36;Machanik;Wie viele Zellen besitzt eine 48V-Antriebsbatterie?;3;10;;12;80;24;
37;Machanik;Glasscherben und Metallspäne auf der Fahrbahn führen häufig zu Reifenpannen bei luftbereiften Geräten. Was ist dagegen zu tun?;3;10;;Fahrzeug in die Werkstatt bringen;Glasscherben und Metallspäne wegfegen;Fahrzeug mit Superelastikreifen ausrüsten;
38;Machanik;Wie heißt die Baugruppe, welche die unterschiedliche Drehzahl der Räder bei Kurvenfahrt ausgleicht?;1;10;;Differentialgetriebe;Planetengetriebe;Untersetzungsgetriebe;
39;Machanik;Welcher Gabelstaplertyp kann nur gelenkt werden, wenn der Motor läuft?;3;10;;Gabelstapler mit mechanischer Lenkung;Gabelstapler mit Vorderradantrieb;Gabelstapler mit hydraulischer Lenkung;
40;Physik;Was ist beim Befahren einer Laderampe zu beachten?;3;10;040.png;Rampen werden oft zum Abstellen von Waren genutzt;Rampen dürfen nur mit Vollgummireifen befahren werden;Rampen bergen ein hohes Unfallrisiko;
41;Sicherheit;Wo besteht ein erhöhtes Unfallrisiko?;2;10;041.png;Auf allen Verkehrswegen;An Türen, Toren, Durchfahrten und Treppen;Im Bereich der Ladestationen;
42;Physik;Was bildet einen wichtigen Teil des Gegengewichts am Stapler?;1;10;;Die Batterie;Der Fahrer;Der Motor;
43;Sicherheit;Was muss der Fahrer vor dem Verlassen des Gabelstaplers tun?;1;10;;Gabelträger absenken, Handbremse anziehen, Motor abstellen, Schaltschlüssel abziehen;Gabelträger anheben, Motor abstellen, Schaltschlüssel abziehen;Gabelträger absenken, Handbremse anziehen, Gang rausnehmen;
44;Physik;Welche Kraft wirkt beim Bremsen, Beschleunigen und bei Kurvenfahrten auf die Last?;1;10;044.png;Fliehkraft;Zentripetalkraft;Schnellkraft;
45;Physik;Welche Bedeutung hat die maximale Tragkraft eines Staplers?;1;10;045.png;Sie stellt die Obergrenze der möglichen Belastung dar;Sie darf um nicht mehr als 20 % überschritten werden;Sie darf nur kurzzeitig überschritten werden;
46;Sicherheit;Welche Zugabe zur Fahrspurbreite ist bei Ladebrücken beim Befahren mit einem kraftbetriebenen FFZ erforderlich?;3;10;;Rechts und links jeweils 10 cm;Insgesamt 1,50 m;Insgesamt 70 cm;
47;Ausbildung;Wann muss ein Gabelstaplerfahrer einen Fahrauftrag ablehnen?;2;10;;Wenn der Auftrag nicht zu seinem Aufgabengebiet gehört;Wenn der Auftrag gegen die Unfallverhütungsvorschriften verstößt;Zu Feierabend;
48;Sicherheit;Was gilt beim Transport von kleinen Lasten?;3;10;048.png;Sie können auf einer Gabel transportiert werden, um Zeit zu sparen;Sie dürfen nur vorne auf den Gabeln transportiert werden;Beim Transport muss eine Palette oder Gitterbox untergelegt werden;
49;Ausbildung;Wie wird eine Last richtig aufgenommen?;2;10;049.png;Komplett unterfahren und dann möglichst hoch anheben, um freie Sicht nach vorne zu haben;Komplett unterfahren und dann Hubgerüst nach hinten neigen;Komplett unterfahren, etwas zurücksetzen und anheben;
50;Ausbildung;Wann ist vorausschauendes Fahren erforderlich?;1;10;050.png;Immer;Nur bei Fahrten mit Lasten von mehr als 200 kg;Nur beim Fahren ohne Last, da der Bremsweg dann länger ist;
51;Physik;Wie pflanzt sich der Druck in einer Hydraulikflüssigkeit fort?;1;10;;Gleichmäßig in alle Richtungen;Nach vorne;Von Plus zu Minus;
52;Sicherheit;Darf ein Stapler vor einem Notausgang abgestellt werden?;3;10;;Ja, aber nicht länger als 3 Minuten;Ja, aber nur in Ausnahmefällen;Nein, auf keinen Fall;
53;Sicherheit;Es hat stark geregnet, und beim Verladen auf dem Betriebshof ist der Stapler stark verschmutzt worden. Wie reagieren Sie richtig?;1;10;053.png;Sie reinigen Scheiben, Beleuchtung und Fahrerbereich des Staplers, bevor Sie weiterarbeiten;Sie informieren Ihren Vorgesetzten;Sie arbeiten weiter, um keine Zeit zu verlieren;
54;Sicherheit;Was ist beim Betrieb von Staplern in explosionsgefährdeten Bereichen zu beachten?;1;10;;Der Stapler muss für diesen Bereich zugelassen sein;Der Stapler darf nur Schrittgeschwindigkeit fahren;Der Stapler darf keine Last mitführen;
55;Sicherheit;Sie haben Ihre Sicherheitsschuhe zu Hause vergessen. Was tun Sie?;2;10;055.png;Sie tragen während der Arbeit Ihre Straßenschuhe;Sie leihen sich im Betrieb ein passendes Paar Sicherheitsschuhe aus und tragen das;Sie tragen während der Arbeit keine Schuhe und achten besonders auf Glassplitter am Boden.;
56;Sicherheit;Können Auspuffgase eine Gesundheitsgefahr darstellen?;2;10;;Nein;Ja;Nur bei dieselbetriebenen Staplern;
57;Ausbildung;Wer darf Reparaturen am Stapler vornehmen?;1;10;;Ein vom Hersteller beauftragter Monteur;Der Fahrer;Der Vorgesetzte;
58;Ausbildung;Wie schnell darf ein Gabelstapler auf dem Betriebsgelände fahren?;3;10;;Höchstgeschwindigkeit;Mit Last 8 km/h, ohne Last gibt es keine Beschränkung;Die Fahrgeschwindigkeit ist der Ladung sowie den Fahrbahn-, Sich tund Verkehrsverhältnissen anzupassen;
59;Physik;Was ist bei Kurvenfahrten mit dem Stapler zu beachten?;1;10;059.png;Das Heck schert beim Lenken aus;Der Stapler driftet und kann Kurven so besonders eng nehmen;Die Kurve möglichst schnell und eng fahren;
60;Physik;Wie ist eine Palette mit ungleich verteilter Last aufzunehmen?;3;10;060.png;Eine solche Palette darf mit dem Stapler nicht transportiert werden;Möglichst langsam und behutsam;Der schwere Teil der Palette sollte dem Gabelträger zugewandt sein;
61;Physik;Wie wirkt sich ein Anbaugerät auf die Tragkraft des Staplers aus?;1;10;061.png;Die Tragkraft verringert sich;Die Tragkraft verändert sich nicht;Die Tragkraft wird gesteigert;
62;Ausbildung;Ihr Vorgesetzter meint, bei einem kleinen E-Stapler wäre eine schriftliche Betriebsanweisung nicht notwendig. Was meinen Sie?;3;10;062.png;Eine Betriebsanweisung ist nur bei Betrieben mit mindestens 5 Mitarbeitern vorgeschrieben;Eine Betriebsanweisung ist nur bei Betrieben mit mindestens 5 Staplern/FFZ vorgeschrieben;Eine Betriebsanweisung ist grundsätzlich beim Einsatz von Staplern/FFZ vorgeschrieben.;
63;Physik;Worauf müssen Sie achten, wenn Sie einen Waggon mit Ihrem Stapler ziehen sollen?;3;10;063.png;Dass die Batterie vollgeladen ist;Dass das Seil ausreichend dick ist;Dass die Bremsen des Staplers stark genug sind;
64;Ausbildung;Wer ist Träger der Unfallversicherung?;2;10;;Die gesetzlichen Krankenkassen;Die Berufsgenossenschaft;Das Ordnungsamt;
65;Physik;Das Kühlwasser hat ca. 80 °C und der Wasserstand ist zu gering. Was ist jetzt zu tun?;1;10;;Warmes Wasser nachfüllen, damit es keine Spannungen im Motorblock gibt;Kaltes Wasser nachfüllen, damit die Temperatur absinkt;Warten, bis der Motor abgekühlt ist und dann heißes Wasser nachfüllen;
66;Sicherheit;Eine unübersichtliche Situation auf dem Verladehof: Sie brauchen einen Einweiser – wen wählen Sie?;2;10;066.png;Die Aushilfe aus der Buchhaltung, die heute eingesprungen ist, weil so viel zu tun ist.;Einen anderen Staplerfahrer, den Sie selber schon mehrfach eingewiesen haben.;Den Fahrer mit der lautesten Stimme – auch wenn er kein Deutsch spricht.;
67;Machanik;Die Leistung eines Diestelmotors lässt langsam, aber zunehmend stärker nach. Was kann die Ursache sein?;2;10;;Falschen Dieselkraftstoff getankt;Luftfilter verstopft;Keilriemen der Lichtmaschine sitzt zu stramm;
68;Physik;Was versteht man beim Einsatz von Anbaugeräten unter der Resttragfähigkeit?;2;10;;Tragfähigkeit des Anbaugerätes;Tragfähigkeit des Staplers, abzüglich dem Gewicht des Anbaugerätes und ggf. Berücksichtigung des Vorbaumaßes des Anbaugerätes;Tragfähigkeit des Staplers abzüglich Gewicht des Anbaugerätes;
69;Sicherheit;Sie müssen eine Wechselbrücke mit dem Stapler befahren. Worauf achten Sie?;1;10;069.png;Sie überprüfen, ob die Feststellbremse angezogen ist;Sie überprüfen, ob die Wechselbrücke noch TÜV hat;Sie lösen die Feststellbremse;
70;Sicherheit;Was bedeutet dieses Schild?;3;10;070.png;Achtung, Querverkehr!;Nur Energiesparlampen verwenden;Rückhaltesystem benutzen;
71;Physik;Was ist zu beachten, wenn der Abstand der Gabelzinken verändert wird?;1;10;;Dass die Arretierungsbolzen einrasten;Dass die Gabelzinken nicht direkt vor dem Hubrahmen stehen;Dass die Neigezylinder vollständig eingefahren sind;
72;Sicherheit;Was ist beim Transport von Kippbehältern zu beachten?;2;10;072.png;Sie müssen durchsichtig sein, um die Sicht nicht zu behindern;Sie verlagern den Schwerpunkt des Staplers bei Seitwärtsbewegungen der Gabel;Sie dürfen nur von zwei Staplern gleichzeitig transportiert werden;
73;Sicherheit;Wie ist im Betrieb die Vorfahrt geregelt?;1;10;;Es gilt immer rechts vor links, wenn keine anderweitige betriebliche Verkehrsregelung gilt;Es gilt immer: Vorfahrt hat, wer ohne Last fährt;Es gilt immer: Vorfahrt hat, wer mit Last fährt;
74;Physik;Wie darf der Stapler belastet werden?;2;10;;Das hängt von der Länge der Gabelzinken ab;Das kann auf dem Tragkraftdiagramm abgelesen werden;Das bestimmt der Vorgesetzte nach Arbeitsanfall;
75;Ausbildung;Welche Vorschrift muß ein Staplerfahrer kennen?;1;10;;Unfallverhütungsvorschrift „Flurförderzeuge“;Bauvorschrift für Flurförderzeuge;Straßenverkehrszulassungsordnung;
76;Sicherheit;Welche Gefahren bestehen an Ladestationen?;2;10;076.png;Hohes Verkehrsaufkommen, besonders zum Schichtwechsel;Beim Laden der Batterien entsteht Knallgas;Es bestehen kein besonderen Gefahren;
77;Physik;Was bedeuten Massenkräfte für Staplerfahrer?;1;10;077.png;Sie können den Stapler instabil werden lassen, etwa bei Kurvenfahrten oder Bremsmanövern;Eine Fehlfunktion der Staplerbatterie;Mehrere Stapler zusammen können größere Lasten bewegen;
78;Ausbildung;Was ist beim Fahren eines Gabelstaplers im innerbetrieblichen Werkverkehr zwingende Voraussetzung?;2;10;078.png;Staplerschein;Ausbildung, Nachweis der theoretischen und praktischen Befähigung, schriftliche Beauftragung;Führerschein entsprechend dem zulässigen Gesamtgewicht;
79;Physik;Welchen Einfluss hat die Geschwindigkeit auf den Kurvenradius des Staplers?;2;10;079.png;Bei doppelter Kurvengeschwindigkeit halbiert sich der Kurvenradius;Bei doppelter Kurvengeschwindigkeit vervierfachen sich die Fliehkräfte;Bei doppelter Kurvengeschwindigkeit verdoppelt sich der Kurvenradius.;
80;Sicherheit;Welche Zugabe zur Fahrspurbreite eines kraftbetriebenen FFZ ist bei Ladebrücken erforderlich?;3;10;;Rechts und links jeweils 10 cm;Insgesamt 1,50 m;Insgesamt 70 cm;
81;Ausbildung;Beim Fahren klingelt Ihr Handy. Was tun Sie?;3;10;081.png;Sie sehen nach, wer anruft, und drücken einen privaten Anruf weg, da Sie noch keine Pause haben;Sie gehen ran, ohne aufs Display zu sehen, und sagen, dass Sie gleich zurückrufen;Sie stoppen den Stapler und gehen dann ans Telefon;
82;Physik;Warum ist beim Laden der Batterie eine ausreichende Luftzufuhr wichtig?;1;10;;Weil beim Ladevorgang explosionsfähiges Knallgas entsteht;Weil beim Laden Wärme entsteht;Weil beim Laden Sauerstoff verbraucht wird;
83;Machanik;In welchem zeitlichen Abstand sind Stapler durch einen Sachkundigen auf ihre Betriebssicherheit zu überprüfen?;3;10;;Täglich vor Arbeitsbeginn;Alle 2 Jahre;Nach Bedarf, mindestens jedoch im jährlichen Rhythmus;
84;Physik;Ein Kollege behauptet, sein schwerer Dieselstapler würde eine bessere Kurvenlage besitzen als Ihr Elektrostapler. Was meinen Sie?;1;10;084.png;Da Fahrwerk und Schwerpunkt ähnlich sind, verhalten sich beide Stapler ähnlich bei Kurvenfahrten;Da der Dieselstapler schwerer ist, ist bei ihm die Kippgefahr größer;Da der Elektrostapler leichter ist, ist bei ihm die Kippgefahr größer;
85;Ausbildung;Wie alt muss der Fahrer eines FFZ mit Fahrersitz oder Fahrerstand mindestens sein?;3;10;;21;25;18 Jahre (16 Jahre zu Ausbildungszwecken und unter Aufsicht);
86;Physik;Wie fahren Sie mit Ihrem Stapler in einem Aufzug?;1;10;086.png;Feststellbremse festziehen und absteigen;Feststellbremse festziehen und sitzenbleiben;Feststellbremse festziehen, aussteigen und Stapler unbegleitet transportieren lassen;
87;Sicherheit;Sie müssen eine hängende schwere Last transportieren. Wie passen Sie Ihre Fahrweise an?;1;10;087.png;Sie reduzieren die Fahrgeschwindigkeit auf ein Minimum;Sie fahren mit hoher Geschwindigkeit, um die unsichere Last schnell abzuliefern;Sie fahren rückwärts, um freie Sicht auf die Fahrstrecke zu haben;
88;Sicherheit;Sie fahren glühendes Flüssigmetall und werden geblendet. Was tun Sie?;2;10;088.png;Sie fahren langsam und versuchen, an der blendenden Last vorbeizusehen;Sie fahren langsam rückwärts;Sie fahren zügig und hupen regelmäßig, um andere zu warnen;
89;Ausbildung;In Ihrem Betrieb gilt die StVO. Was bedeutet das für Sie als Staplerfahrer?;3;10;089.png;Fußgänger haben Vorfahrt;Stapler haben Vorfahrt;Schilder regeln die Vorfahrt;
90;Physik;Warum darf zum Befüllen einer Batterie kein Leitungswasser verwendet werden?;1;10;;Weil Leitungswasser Salze enthält, die elektrisch leitfähig sind;Weil Leitungswasser die Temperatur nicht gut reguliert;Weil die Batterie mit Leitungswasser zu viel Strom abgibt;
91;Sicherheit;Was ist bei Fahrten mit Last auf einem unbekannten Weg zu beachten?;1;10;;Tragfähigkeit des Verkehrsweges vorher prüfen und freigeben lassen;Fahrgeschwindigkeit reduzieren;Vorgesetzten informieren;
92;Sicherheit;Sie müssen mit Ihrem Stapler einen Bahnübergang queren. Wie positionieren Sie die Gabel?;2;10;092.png;Möglichst bodennah, um Unfälle zu vermeiden;Etwas angehoben, um nicht die Schienen zu berühren;Über der Fahrerkabine, um freie Sicht nach vorne zu haben;
93;Sicherheit;Warum muss der Schalt- oder Zündschlüssel beim Verlassen des Fahrzeugs abgezogen werden?;2;10;;Damit der Schlüssel nicht entwendet werden kann;Um eine Benutzung des Fahrzeugs durch Unbefugte auszuschließen;Um einen erhöhten Verschleiß zu vermeiden;
94;Physik;Sie sollen in unmittelbarer Nähe zu einer Starkstromanlage verladen. Worauf achten Sie?;3;10;094.png;Sie verladen möglichst schnell um wieder von der Starkstromanlage wegzukommen;Dass die Staplerräder geerdet sind;Dass die angehobene Gabel immer ausreichend Abstand zu stromführenden Leitungen hat;
95;Sicherheit;Welchen Einfluss hat das Gewicht der Last auf ihr Rutschverhalten?;3;10;095.png;Je höher das Gewicht, desto langsamer kommt die Last ins Rutschen;Je höher das Gewicht, desto schneller kommt die Last ins Rutschen;Das Gewicht hat nur einen geringen Einfluss auf das Rutschverhalten;
96;Machanik;Wann ist ein Lastschutzgitter erforderlich?;2;10;;Immer;Wenn Lasten über eine Höhe von 1,80 m angehoben werden müssen und auf den Fahrer herabfallen können;Bei Lasten, die nicht ausreichend gegen Verrutschen geschützt sind;
97;Physik;Bei Zwillingsarbeiten müssen Sie und ein Kollege eine Last von ca. 3 Tonnen bewegen. Wie groß sollte die Tragkraft jedes beteiligten Staplers mindestens sein?;2;10;097.png;1,0 Tonne;2,0 Tonnen;3,0 Tonnen;
98;Physik;Wann fängt bei einer Batterie die zu vermeidende Tiefenentladung an?;3;10;;90 Prozent Entladung;70 Prozent Entladung;80 Prozent Entladung;
99;Sicherheit;Was muss auch bei kurzzeitigem Verlassen des Gabelstaplers getan werden?;1;10;;Schlüssel abziehen;Hupe betätigen;Hubgerüst nach vorn neigen;
100;Ausbildung;Sie müssen ein steiles Gefälle befahren. Wie verhalten Sie sich?;1;10;100.png;Sie fahren langsam und nutzen die Motorbremse;Sie fahren mit angezogener Feststellbremse;Sie schalten den Fahrantrieb auf dem Gefälle aus;
